id,Kichwa,Español
3098,  tender / extender. puñunata mantay / siririnkamikani. tiende la cama / voy a acostarme. kanpak churanata kiwa jawapi mantakpi chakirinkami. si extiendes tu ropa sobre la hierba se ha de secar.,manti
3099,  papa china / tubérculo comestible. kanpak mantita kuchimi illakta mikushka. los puercos se han comido toda tu papa china.,manturu
3100,  achiote. manturuta mikunapi ama churankichu / pukaklla mikunata mana mikuna ushanichu. no pongas color en la comida / no como comida roja.,mañachina
3101,  prestado / dar prestado. ñuka mashi kullkita mañachiwarka. mi amigo me dio dinero prestado. mi amigo me pidió dinero prestado.,mañana
3102,  pedir / rogar / rezar / invocar. kanpak ushushita mañankapakmi yaykumunchik. hemos llegado a pedirle la hija. pachayayata mañashun / pay achka yanapayta ñukanchikman kunkami. pidamos a dios / él nos dará mucha ayuda.,mañiwa (maña)
3103,  bejuco amarrado en forma circular que se coloca en los pies para subir a los árboles. yapa llampu yurami / mañiwata rurashpami sikanata usharinka. el árbol está demasiado liso / con el bejuco amarrado se podrá subir.,mapa
3104,  cera de abeja / sucio. mapayashkata japichi / mana rikuypak yana tutami kan. enciende la cera que la noche está oscura. mapa churanawan purikunki / utka takshakriwanki. andas con ropa sucia / vete a lavar de inmediato.,mapari (mapamari)
3105,  sanguijuela. mapari tsunkashpimi millay karacha tukuwashka. se me ha infectado donde me mordió la sanguijuela.,mapashka (mapayashka)
3106,  animales en celo. mapayashka allkuta ama watachinkichu / allku wawata mana munanichu. no hagas aparear a la perra que está en celos / de momento no necesito cachorros.,mari
3107,  morfema afirmativo. kanpak mamaka shamushkamari. tu mamá ha venido.,marka
3108,  provincia. orellan shutiyuk markapimi kawsakunchik. vivimos en la provincia de orellana.,markakmama
3109,  madrina. kanpak markakmamaka alli kawsankapak kamachinchu. la madrina te aconseja el vivir bien.,markakyaya
3110,  padrino. kanpak markakyayata naparkankichu. saluda a tu padrino.,markana
3111,  apadrinar / llevar en los brazos o hombro. kanpak wawatak markachiway. quiero llevar en brazos a tu niño. kay kaspita markasha. cargaré este palo al hombro.,masana
3112,  mezclar / entreverar. masachishpami machana yakuta upyarkani / chayraykumi aycha nanawan. al tomar mezclé las bebidas alcohólicas por eso me duele todo el cuerpo.,masha
3113,  yerno / cuñado. ñukapa masha unkushami. mi yerno está enfermo. ñuka masha mishumi. mi cuñado es mestizo.,mashi
3114,  amigo / compañero. ñukanchik mashi chayra mana paktamunchu. nuestro compañero todavía no llega.,mashkana
3115,  buscar / investigar. nawpak yuyaykunata mashkashpa tupanami kanchik. tenemos que investigar la sabiduría antigua.,mashna
3116,  ¿cuánto? ¿cuántos?. mashna runakuna shamurka. ¿cuántas personas vinieron? mashna kullkita kunakan. ¿cuánto dinero hay que dar?,mashu
3117,  tejón / murciélago. mashuka achkapura wankurishpami purin. el tejón anda en manada. mashupash tutakunapi mikunata mashkashpami purin.y el murciélago busca comida en las noches.,matamata
3118,  variedad de tortuga de agua (chelis fimbriatus). matamataka mana rikurinchu / maykanllapi tuparin, paypak lulunka waminsi tullpumi. esta tortuga no se encuentra fácil / aparece de repente
3119, sus huevos son de color rosado.,mati
3120,  mate. chiri yakuta mati junta kuway. dame el mate con agua fría.,matiri
3121,  aljaba donde se guardan los dardos y el algodón para la cerbatana. waoranikunallami matirita apaykachanun / naporunakunaka jichurakunmi. sólo los huaorani utilizan la aljaba / los naporuna están abandonándola.,matu
3122,  abollado. mankata waktachimanta matu rurashka. de tantos golpes la olla está abollada.,matuyana
3123,  abollarse. kanpak mushuk antamanka matuyashkami. tu olla de metal está abollada.,matsan
3124,  agrio / amargo. matsan mikunata kararirka. me dieron comida amarga.,mawka
3125,  viejo / usado / antiguo. mawka churanatá rupachinami. la ropa vieja hay que quemar. kallari mankata tarishpa wakaychinami. si se encuentra cerámica antigua hay que guardarla.,mawkayana
3126,  envejecer / hacerse viejo. ñukanchik wasi ña mawkayashkami. nuestra casa ya está envejecida.,may
3127,  muy / más. may jatun runashina kichki kawitupi mana puñunata ushani. como si fueras muy grande para no acostarte en cama estrecha. may suni amarunta rikurkani. yo vi una boa la más larga.,mayan
3128,  borde / orilla / cerca de algo. yaku mayanta ama purinkichu. no andes por la orilla del río. paypak mayanman ama llutarinkichu. no te acercarás a él. mayanman ruray. hazte a la orilla. yaku mayampi tiyayurkanchik. estuvimos junto a la orillas del río. mayanta rishun. vayamos por la orilla.,mayanlla
3129,  cerca / no muy lejos. kay llawanamanta chayshukman / karuchu kan. mayanllami. ¿de éste saladero al otro /está lejos? ¡está cerca!,mayanyachina
3130,  acercar. chakita mayanyachi / jampishun. acerca tu pie para curarte. kanpakman mayanyachiway / chiriwanmi. acércate a mi tengo frío.,maykaman
3131,  hasta dónde. kunanka maykaman paktankapakta munanki. ¿y ahora / hasta dónde quieres llegar?,maykan
3132,  ¿quién? / ¿alguno?. ñuka kullkita maykan runachari shumarka. ¿quien se robaría mi dinero? kankunamanta maykanta ñukapa wasita riksin. ¿alguno de ustedes conoce mi casa?,maykanpash
3133,  cualquiera / el que venga. maykan atallpatak wañuchisha. maykantapash. ¿cuál de las gallinas mataré? ¡cualquiera!,maykanpi
3134,  a veces / algunas veces. tukuykunami maykanpi pantarinchik. a veces todos nos equivocamos.,mayllana
3135,  lavar. aswanka ashpa / shimita mayllarinki. cuando vayas a hacer la chicha / lavaráste la boca. mankakunata mayllakrisha. iré a lavar las ollas.,mayman
3136,  ¿a dónde?. mayman pushawakunki. ¿a dónde me estás llevando? mayman rikunki. ¿a dónde estás yendo?,maymantak
3137,  ¿de dónde?. maymantak paktamunki. ¿de dónde llegas?,maypi
3138,  dónde / en dónde. maypita wankana kuntarirka. ¿dónde los viste a los jabalíes?,maytak
3139,  por dónde / por donde. kunanka maytatak rina kanki. maytapash rishallami. ¿y ahora / por dónde te vas a ir? me iré por donde quiera.,maytu
3140,  envoltorio / atado / paquete envuelto. challwata maytushpa kusakpi / yalli mishki mikunami. el pescado envuelto en hojas y asado / es más sabroso.,maytuna
3141,  empaquetar / enrollar / envolver. challwata maytushpa yanunki / yakullapika mana allichu. los pescados cocinaráslos empaquetando / cocidos en agua no son sabrosos. puñunata maytunki / rikushun. empaqueta la cama / vamos ya.,maywa
3142,  morado / lila. mishki kumalka maywa tullpu jawataka rikurin / ukumanka killumi. el camote dulce por fuera es morado / por dentro es amarillo.,michik
3143,  pastor. michik runaka wakrakunawan purin / paykunata rikushpa. el pastor anda con el ganado / cuidando.,michina
3144,  pastorear / pastar. kaypi chay yachayta mana charishpapash / yachanchikmi chay sami kawsay tiyashkata. aunque aquí no tenemos esa costumbre / sabemos que hay ese tipo de vida.,mikmichu
3145,  gavilán que come polluelos. mikmichuka pakllapi shayak yurakunapimi intita kunun. ese tipo de gavilán suele calentarse al sol entre los árboles.,mikuna
3146,  comer / comida. punchana aychata mikukshamuy. ven a comer carne de guatusa. kan wanllamushka mikunata apamuy / yarkawanmi / mikushun.trae la comida que guardaste tengo hambre / comamos.,mikurina
3147,  oxidarse / carcomerse. kay antamanta manka mikurinamanta pulurishka. esta olla de tanto carcomerse tiene huecos.,millachina
3148,  repugnancia / provocar asco. chay wasi millachiwan. esa casa me causa repugnancia.,millana
3149,  tener asco / asquear / repugnar / tener náusea. kunanka mana mikushachu / millanayawanmi. hoy no comeré / tengo asco. aya llankashkami millana.tengo náusea.,millanay
3150,  repugnancia / asco. maykan wasikunata rikushkalla / millanay shamuwan. sólo de ver ciertas cosas me da repugnancia.,millay
3151,  malo / malgenio / bravo. chay runawan mana asipachu / wiñay millay kawsan. con ese hombre no hay cómo hacer broma / siempre está malgenio. chay laychuka millay shimikunallatak kamachikmi. ese mestizo sólo aconseja palabras malas.,milliyana
3152,  enojarse / malhumorarse / enfurecerse. ñukata rikushpalla milliyarka. sólo de verme se enfureció.,millma (willma)
3153,  vello / lana / cerda / pluma. millmasapa runami. es velludo el hombre. millma illak kuchitami munani / mana achka yakuwan llushtina tukun. quiero puercos sin cerdas / no hay necesidad de mucho agua para pelarlos.,millpuna
3154,  tragar. mikunata allimanta millpunami / utkalla millpushpaka arkarinamari. no hay que tragar la comida / si se traga es posible atragantarse.,mimish
3155,  encías. paña pakuyuk kashpami mimishkunata puka charin. por tener el mal de piraña / sus encías son rojas.,mincha
3156,  pasado mañana. mincha punchaka mana pishiyashachu. pasado mañana no faltaré.,minka
3157,  trabajo comunal. karikuna / warmikunapash minkaman rinakurka. hombres y mujeres han asistido al trabajo comunal.,minkana
3158,  encargar / hacer minga. palanta chakrata pichankapak minkachirkani. pedí ayuda para limpiar el platanal. churi shamuchun rimankapak / minkarkani ñukapa mashita. le encargué a mi amigo a que le avise a mi hijo que venga.,minkashka
3159,  encargo / encomendar. kan apakushka tantatak karaway.mana ñukapachu /minkashkami. dame del pan que llevas. no es mío / es un encargo. se dice también minkara.,mirachina
3160,  aumentar / multiplicar / reproducir. atallpata achka mirachishkatami charin.tiene muchísimas gallinas.,mirana
3161,  aumentar / multiplicar / proliferar. kuchi paypak munay miran. los puercos por sí se multiplican.,mirka
3162,  peca / manchas negras / cicatriz. kay wawaka achka mirkatami ñawipi charin. esta niña tiene muchas pecas en el rostro. pay wawapi pitirishkami / mirkalla rikurin. el corte que se hizo de pequeña sólo queda la cicatriz.,mirkanu
3163,  machete antiguo hecho con madera. ñukanchik awlukunaka mirkanuwanmi chakrata rurakkuna kashka. nuestros antepasados trabajaban sus sementeras con machete de madera.,misi
3164,  gato. mana kaylla tulupuk ukuchakuna / misita apamukpi chunlla pakarirka. las ratas bulliciosas al traer al gato hicieron silencio.,misha
3165,  objetos que se hallan en intestinos de los animales y se cree dan suerte. wakra wawata wañuchishpa / ishkay jatunnaya muyukunata paypak pusumpi tarirkani. al matar un becerro encontré en su panza dos bolas medianas de color negro.,mishana
3166,  competir / triunfar. kanchu kallpashpa pukllakushkapika misharkanki. ¿fuiste tú quien en la competencia de carreras triunfaste?,mishki
3167,  dulce / miel / rico / sabroso. mishkita rantishpa apamuy / shimita mishkichisha. comprarás miel / quiero endulzar la boca. raymipi mishki mikunatami kararka. en la fiesta dieron comida muy sabrosa.,mishkichina
3168,  dar sabor / sentir el sabor. mikunata mishkichishpami ashtawan munanayawarka. saboreando lo buena que estaba la comida / me hizo falta más.,mishkimuyu
3169,  caramelo. mishkimuyuta kuyaway. regálame un caramelo.,mishu (laychu)
3170,  mestizo hispano hablante. maykan mishukuna runata yapa chikninun. algunos mestizos odian sobremanera al indígena.,mitayu
3171,  cacería / carne seca / ahumada. kanpak kari maypitak kan. mitayunkapakmi rirka. tu marido dónde está? fue de cacería. sachaman rikkuna mitayuta apamunurkachu. los que fueron de cacería trajeron carne seca.,mitayuna
3172,  hacer cacería / pesca. tukuy puncha mitayukpi sacha wiwakuna tukurinunkami / samashpa mitayukpika wakaychishka juntarinkami. si se hace caza todos los días se exterminarán los animales / si lo hacemos de vez en cuando / estarán guardados en la selva.,mitikuchina
3173,  hacer huir / hacerle fugar. warmi ayllukuna ñukanchik ushushita mitikuchishpa / kariman sakishka. los familiares de mi esposa / haciéndola fugar a nuestra hija / le entregaron a ese hombre.,mitikuna
3174,  huir / esconderse / fugar. ñukanchik kaypi wiñachishka warmi wawaka mitikushkami. la chica que criamos aquí ha fugado. pukllashkapipash mana mitikuna yachanichu / yapa tupawan. ni en el juego sé esconderme / me encuentran fácil.,mitsak
3175,  avaro / mezquino / miserable. mitsakkunaka mana imatapash kuyanunchu. los mezquinos jamás regalan nada.,mitsamuyu
3176,  verruga. mitsamuyuka mitsakunatashi llukshipi riman. se dice que las verrugas salen a los mezquinos.,mitsana
3177,  negar / mezquinar. llushtikunataka mana mitsanachu / imallapash kuyakpimi alli tukun. a los pobres no hay que mezquinar / siempre es bueno regalarles algo.,mucha
3178,  beso / ósculo. muchata kuway. dame un beso. paypak sipu ñawipi ñuka mamata mucharkani. le di un beso en la frente arrugada a mi madre.,muchana
3179,  besar. ñukapa warmita llakishkarayku muchani. a mi esposa la beso porque la quiero. apunchikta yuyarishpa / paypak chakatatak muchani. beso la cruz de cristo pensando en él.,mukawa
3180,  tazón de cerámica. canelos warmimi sumak jawishka mukawapi / aswata upyachiwarka. una mujer de canelos fue la que me brindó chicha en un tazón de barro bellamente pintado.,muku
3181,  nudo / puño / articulación / joroba / terreno con atibajos. mukuwan chakimukupi / mukuwashapipash / waktay. golpea con el puño en el tobillo y en la joroba. kay washa muku muku allpata rikukriskun. luego nos vamos a ver ese terreno con altibajos.,mukuchina
3182,  hacer masticar. mana uyaktaka / uchutami mukuchisha. al desobediente / le voy a hacer masticar ají.,mukuna
3183,  masticar / mascar / rumiar. aswa mukunata yanapaway. ayúdame a mascar la chicha. pakarikta wakraka pusunmanta kiwataka mukun. el ganado rumió toda hierba toda la noche.,mukuyachina
3184,  hacer nudo / anudar. kay waskata mukuyachipay / mukupi jaytarishpami yurapi sikankarani. anúdame este cabo / voy a subir al árbol apoyándome en él.,mukuyana
3185,  hematoma. chakitullu mukuyakta waktarishkanki. te has golpeado hasta que te salga un hematoma.,mullu
3186,  cuenta de collar / chaquira. kunan katushka mullukunaka yankami / unay pachapi apamushka shuti / kikinmi karka. las cuentas de collar que hoy venden son pacotilla / las antiguas sí que eran auténticas.,munachina
3187,  hacer tener ganas / desear. wawakunata munachishpa mikukun. mientras come les hace tener ganas a los niños.,munana
3188,  querer / desear / tener antojo / aficionarse / tener deseos. aswata munanayawan. tengo antojo de tomar chicha. ñanpi shayak wakrakunata munanawan. me aficiono de ese ganado que está en el camino. malta warmita munani. quiero a una mujer joven.,munanakushka
3189,  novio / novia. munanakushkawanchu raymimanka rikunki. ¿vas a la fiesta con tu novio? allita apawanki kan munanakushka warmita. lleva con sumo respeto a tu novia.,munanay
3190,  maravilla / hermoso en extremo. munanaypak kashpa tukuyta sumakta rurashkanki / pachakamak.porque eres hermoso en extremo has hecho todas las cosas tan bellas / oh dios.,munanayakta
3191,  que causa admiración. munanayakta sumak ushushita charishkanki. has tenido una hija muy hermosa y admirable. munanayakta wasikunata llaktapi rikurkani. vi unas casas muy elegantes en la ciudad / me causaron admiración.,munanayana
3192,  deseo / codicia. warmita munanayawan. tengo deseo de mujer. tukuy pay charishkata munanayawan. todo lo que él tiene lo quiero para mí.,munsira
3193,  constelación. chuya tutakunapika tawka kuyllurkuna munsirakunapash jawapahapi rikurin. en noches despejadas se ven muchas estrellas y constelaciones en el firmamento.,muntiti
3194,  variedad de pavo. muntitika jawa yurapimi puñun / tutakunapi kaparishpaka karutami uyachin. esa ave duerme en las copas de los árboles altos / cuando canta en las noches se le escucha a gran distancia.,muriti
3195,  palmera cuyos frutos son comestibles. jaku muriti ukuman / kuruta pakikrishun. vamos al interior del pantano a sacar gusanos.,muru (muyu)
3196,  fruto. sara muru. semilla de maíz. pintado / de pintas blancas y negras. puma karaka muru kan (yanawan. yurawan pukawanpash). la piel del jaguar tiene pintas (negras / blancas y coloradas).,muruchu
3197,  maíz blanco / morocho. kay watapi muruchu yapaleta winashka. el maíz blanco en este año ha crecido bastante.,muruna
3198,  desmotar el algodón. kay manka allpata murunkapak yanapaway. ayúdame a desmotar el algodón de la arcilla que estoy preparando.,muruunkuy
3199,  viruela. ñukanchik kawsayka muruunkuywanmi ñalla tukurishka. nuestra vida por poco se exterminó con la viruela.,muskuna
3200,  soñar / delirar. allkukuna kaniwakpi rikushpa muskurkani. soñé que me mordían los perros.,muspana
3201,  desvariar / tener pesadillas. supaykuna katinukpi / manchashpa kallpakushpa / musparkani. soñé que me perseguían los diablos y corría asustado.,musyana
3202,  preveer / adivinar. ima tukunata musyarkanimi. yo adiviné lo que iba a suceder.,mushuk
3203,  nuevo / sin uso. mushuk wasita rurakuni. estoy construyendo casa nueva.,muta
3204,  pez pequeño. kay punchakunapi muta mana mikunchu. por estos días las mutas no pican en el anzuelo.,mutilun
3205,  (yawati) / tortuga de tierra. inti pachapi mutilunka payllami turukunapi rikurin. en el verano aparecen muchas tortugas en el pantano.,mutki
3206,  olfato. wiwakunaka runamanta yalli mutkitami charin. los animales tienen más olfato que los humanos.,mutkichina
3207,  hacer oler. paypak ashnak chakita mutkichiwashpa / ñalla kuynachiwarka. cuando me hizo oler su pie / casi vomito.,mutkina
3208,  oler / percibir. imaklla ashnakta kan kay yakuka. yaku mayanta tiyak sisaklla ashnakmi.¿a qué huele esta agua? huele a las flores de las orillas de los ríos.,mutulu
3209,  serpiente venenosas y grande. mutulu machakuyka allpa jutkukunapi kawsakmi / tutakunaka mikunata mashkankapak kanchaman lukshin. la serpiente mata caballo / vive en cuevas y sale en las noches en busca de alimentos.,mutsuna
3210,  necesitar. tukuy puncha kawsanata mutsunchik. todos los días necesitamos vivir.,mutsuyana
3211,  faltar / escasear / carecer. wiñay unku kawsakushpami tukuymanta mutsuyashka kawsani. por estar enfermo tanto tiempo / estoy necesitado de todo.,muyu
3212,  pepa / semilla. kula muyutami tarpuna kani. voy a sembrar semilla de cacao.,muyuchina
3213,  dar la vuelta. kinchakuna tiyashkapika / wakrakunata muyuchishpa apanami. donde hay cercos / pasarás con el ganado haciéndole dar la vuelta.,muyuna
3214,  rodear / voltear. atallpa wasita muyunkapak churita kachanki. envía a tu hijo a darse una vuelta por el gallinero. uma muyunkapakmi kallariwan. me empieza a marear la cabeza.,muyuntin
3215,  con pepa / con todo. wawakuna mana yachashpa / killu pakayta muyuntin mikushka. los niños que no sabían comieron la guaba con pepa y todo.,muyurina
3216,  darse la vuelta / caminar en torno. wasita muyurishpa rikunki. mira la casa caminando en torno a ella. yaku muyuripi waytashpa / wañupa. si nadas en el remolino te ahogarás.,muyuylla
3217,  solo alrededor de... wasi muyuylla kinchapanki. por favor / me haces el cerco solo alrededor de la casa.,naku
3218,  morfema que indica reciprocidad. llakinakuna. amarse / quererse / estimarse. ñañapura yapa llakinakun. se quieren mutuamente entre hermanas.,nanachina
3219,  hacer doler / hacer sufrir. wawa apana paktakpi / wiksata nanachikurka. cuando llegó la hora del parto le dolía la barriga.,nanaklla
3220,  dolorido. unaymantami chaki nanaklla kawsani. de hace mucho que estoy con dolor del pie.,nanakyana
3221,  resentirse / encapricharse / dolerse. ñuka piñashkamanta nanakyashkami. porque la regañé está resentida.,nanana
3222,  duele. jukushpa purikpi aychami nanawan. por mojarme me duele el cuerpo.,nanarina
3223,  dolerse / arrepentirse / sentir remordimiento. warmita waktashkamanta nanarinimi. me arrepiento de haber golpeado a mi esposa. mana alli kawsashkamanta nanarina shamuwan. de mi mala vida siento remordimiento.,nanay
3224,  dolor / remordimiento / arrepentimiento. wiksa nanay mana ushachiwan. no aguanto el dolor del estómago.,nanayuk
3225,  que tiene dolor / que siente dolor. paypak unkuy chiriyakpimi / kunanka uma nanayuk sirin. le pasó la calentura y ahora está con dolor de cabeza.,napana
3226,  saludar. kanpak markakmamata naparkankichu. ¿saludaste a tu madrina?,naya
3227,  algo / un poco. yakuka chirichu. chirinaya kan.¿el agua está fría? está un poco fría. ashtalla rupaknaya yakuta kuway. dame algo más caliente.,nayana
3228,  desear / tener ganas de. kuchi aychata mikunayani. tengo ganas de comer carne de puerco.wañushka ayllukunata llakinayawan. tengo pena de mis familiares muertos. wañushka ayllukunamanta wakanayawan. tengo deseos de llorar por mis familiares muertos.,niktana (nitkana)
3229,  tropezar(se). tuta purikushpa niktashpa urmarkani.andando en la noche tropecé y caí.,nina
3230,  fuego / candela / lumbre. yanka ninata sakinki. dejarás de decir mentiras. ninata wañuchi / yapami kushnin. apaga el fuego / hace mucho humo.,ninachina
3231,  hacer fuego. ninachishun / runakuna rikunuchun / kaypi runa puñukushkata. prendemos fuego para que los vecinos de este lugar vean que aquí hay alguien.,ninakuru
3232,  luciérnaga (diminuta). ninacuruchu tiyan. ¿hay luciérnaga?,ninana
3233,  hacer fuego / prender la candela. kaypi ninana tukunchik / shuk allpa mana tiyanchu. aquí tenemos que hacer fuego.,ninantak
3234,  a gusto / a placer / rapidísimo. ninantak llaktatak purikrini. caminé a gusto en la ciudad. ninantak purishpami sachamanta tikrakrini. caminando rapidísimo he regresado de la selva.,ninapata (tullpa)
3235,  fogón. ninapatapi yantatak juntachinki. pondrás leña en el fogón.,ninapuchu
3236,  tizón. allpaman sirik ninapuchukunata apamuy / ninapi churasha. trae los tizones que están en el suelo / los pondré en el fuego. ninapuchuta mañashun / ñanta rinkapak yana tutami. pidamos un tizón / que el camino está oscuro.,nitina
3237,  presionar hacia abajo. wawapura yakupi nitishpa / wawata wañuchishka. a una crío le han ahogado en el agua entre críos.,nitirina
3238,  arrimarse / apoyarse. uma muyukpi ñukaman nitiriwarka. al marearse se arrimó a mí.,nuspa
3239,  bromista / alocado. nuspa kashpami maypipash asichishpalla purinki. eres tan bromista que donde tú estás haces reír.,nuyuna
3240,  derretir(se) / remojar(se) / desleir(se). kachita yakupi churashpa / nuyunakaman chapay / chay washa kiwapi shitanki wakrakuna mukuchun. pon la sal en el agua y espera hasta que se derrita / luego la arrojas en la hierba para que coma el ganado.,nuyurina
3241,  derretirse. kachi manka illakta nuyurishka. la sal de la olla se ha derretido totalmente.,ña
3242,  ari / ya. mikurkankichu. ña / mikurkanimi. ¿comiste? ya comí.,ñachu
3243,  ¿está ya?. palantatak ñachu yanurkanchi. ¿está ya cocinado el plátano?,ñaka
3244,  hace rato / antes. unaychu kanpak yayakunaka rirka. ñaka kayta purikukkuna / wasita rirka. ¿hace mucho que tus papás se marcharon? hace rato se fueron a la casa.,ñakachina
3245,  hacer sufrir. napishpa apakkunaka / llaktapi ñakachishka. quienes lo llevaron preso y le han castigado.,ñakalla
3246,  recién / hace poco. ñakalla alli kakmi / kunaka unkushka sirin. hace poco estuvo sano y ahora está enfermo.,ñakapash
3247,  hace rato también. ñakapash kaypi killachinkapak paktamurka. hace rato también llegó a molestar aquí.,ñakarina
3248,  sufrir / estar atormentado / quejarse / acongojarse. mama wañushkarayku ushushi yapa ñakarikun. la hija se atormenta por la muerte de su madre.,ñakcha
3249,  peine. ñakchata apamuy / kay wawata ñakchasha. trae el peine para peinarla a esta niña.,ñakchana
3250,  peinar / alisar el cabello / la fibra. akchata ñakchanami / llampu rikurinkapak. hay que peinar la cabellera / para que se vea alisada. champirata apamuy / ñakchashpa ishpata illakta jichusha. trae la fibra le voy a peinar y a sacar lo que no vale.,ñakcharina
3251,  peinarse / alisarse la cabellera. kanpak akcha puntsumi kan / ñakcharinki. tu cabellera está desordenada / péinate.,ñalla
3252,  ya mismo / casi. ñallami ñukapa kari paktamunka. ya mismo llega mi esposo. kaspi pallka ñalla nitiwarka. casi me aplastó una rama.,ñan (ñanpi)
3253,  camino / sendero. runa mana purikpi / sachañankuna witayashkami sirin. la gente no está por los caminos de cacería / está remontada.,ñanpichina
3254,  abrir caminos / senderos. kayami churikunata ñanpichinkapak pushana kani. mañana los voy a llevar a los hijos para abrir el camino.,ñanpina
3255,  hacer camino / abrir sendero. yayaka ñanta rurakun. mi papá está haciendo camino. wawkika sacha ñanta rurankapakmi rini nirka. mi hermano me dijo que se iba a abrir un sendero para la cacería.,ñaña
3256,  hermana. ñuka ñaña wañushkaraykumi wakani. lloro por la muerte de mi hermana.,ñañu
3257,  delgado. kay kawina yapa ñañu / pakirinallami. este remo es muy delgado y fácil de romperse.,ñañuyachina
3258,  adelgazar / hacer más delgado. kay waska yapa rakumi / ñañuyachinami. esta piola está muy gruesa / hay que adelgazarla. kay kawina raku kashpa llashak kan. ñañuyachikpi pankallayankami. este remo por grueso es pesado / adelgazándolo se alivianará.,ñañuyana
3259,  adelgazarse. pata jawamanta palakunaka ñañuyanushkami. las tablas del piso se han adelgazado.,ñashitu
3260,  enseguida / ya mismo / casi. tantarinaka kallarirkachu. ñashitumi kallarinka ¿ya dio inicio la reunión? enseguida va a iniciar. machaysikimanta ñashitu yakupi wañushkani. por borracho casi me ahogo.,ñawi
3261,  ojo / vista / cara / rostro / retoño naciente. ñukapa ñawi ushpayawanmi / chayrayku mana allita rukuni. se me nubla la vista / por eso no puedo ver bien. kanpak wawa chuya ñawiyukkan. tu niña tiene los ojos limpios.,ñawiyana
3262,  germinar / salir los retoños. lumu kaspi ñawiyashka / tarpunallami. el palo de yuca está retoñando / no hay más que sembrarlo.,ñawpak
3263,  antiguo / de tiempo remoto / delante. ñawpakmanta shimikunataka / rinrita paskashpa uyanami kanchik. las enseñanzas antiguas tenemos que escucharlas con los oídos bien abiertos. pay ñawpak shamurka. él vino delante.,ñawpakpi
3264,  delante de / en presencia de. tukuypak ñawpakpi kay llakita allichinchik. delante de todos hemos arreglado este problema.,ñawpakuna
3265,  los primeros / los antecesores. ñawpakunaka mana mikushkachu kan. los antecesores están sin comer.,ñawpana
3266,  adelantarse / anticiparse / anteceder. paymi ñawpamurka. el se adelantó.,ñawparina
3267,  adelantarse. mikuna yanunaraykumi kipa ñawparirka. para preparar la comida se adelantó el menor.,ñawsa
3268,  ciego. ñawsa kaspa killkata mana rikuna ushanchu. porque es ciego no puede leer.,ñawsayana
3269,  enceguecerse. alli ñawiyuk rikurishpallatak / ñawsayashkami kan. no obstante tener buenos ojos / quedo ciego.,ñitina
3270,  apretar / comprimir / apiñar / agolpar / aprisionar. allpata sinchita ñitinki / wasi patachaki sinchiyachun. apretarás bien la tierra para que la base del piso quede fuerte. tukuy palanta umakunata kayllapi nitishpa juntachinki / ama chikan chikan juntachun. todos los racimos de plátano los apiñas aquí / para que no estén esparcidos por aquí y por allá.,ñuka
3271,  yo. ñuka kikin runami kani. yo soy hombre.,ñukanchik
3272,  nosotros / nuestro. yuyay illakkunaka ñukanchik shimita asinunmi. los imbéciles se burlan de nuestro idioma.,ñukapa
3273,  mío / mi / a mí. ñukapa kawsayta kallari rukukunamanta yachaykunami kariyachiwan. mi vida está enorgullecida por la ciencia de nuestros ancestros. ñukapa yachashkata mana pipash kichuwankachu. mi ciencia nadie me la puede arrebatar. unayman tukuyllami ñukapa kawsayman llutarishpa jatarinka. en el futuro acercándose a mi cultura / todos se levantarán.,ñuñu
3274,  leche. wawata ñuñuta upyachi. dale de mamar la leche al bebé.,ñusta
3275,  reina. ñusta akllay tukushka kuytsaka / kanpak ushushichu. ¿la joven elegida como reina / es tu hija?.,ñutku
3276,  seso. wankana nutkuta karaway. dame de comer seso de jabalí.,ñutkuyuk
3277,  inteligente / juicioso. chay malta runa ñutkuyuk kashpatachari kuntik tukurka. ese indígena porque es inteligente se hizo sacerdote.,ñutu
3278,  menudo / pulverizado / fino (en el sentido de polvo) / pequeño. runaka ñutu kachita mikunchik / wakrani rumi kachita mikun. los humanos comemos sal refinada / el ganado come sal en grano.,ñutuna
3279,  pulverizar / refinar / astillar (hacer menudo). yantatak ñutupay / ninami mana japirinayan. por favor hazme astillas menudas de leña para encender el fuego no quiere prender.,pa
3280,  gentilicio. de kay kullkita pedro mashipami. este dinero es del compañero pedro.,pacha
3281,  tiempo / espacio / naturaleza / mundo. jawapacha kawsayta mana riksinchik / rimashkallatak uyanchik. la vida del cielo no conocemos /solo sabemos por lo que hemos oído.,pachakamak
3282,  el dios de los cristianos. tukuy kay pachapi tiyashkata runakunapakta pachakamak rurarka. todo lo que hay en este mundo dios hizo para los hombres.,paju
3283,  maleficio. enfermedad producida por espíritus a través de elementos naturales / por incumplimiento de normas éticas y costumbres. alli warmi kashkamanta yuyay illak tukushka / runa pakumi. estaba sana la señora y perdió el conocimiento / esto es maleficio.,pajuna
3284,  embrujar / hacer maleficio. sakrata piñashkamanta mana purina ushak ñuka wawki tiyan. por insultar al brujo / mi mujer está que no puede caminar.,pajurina (pajuyana)
3285,  infectarse. kuchurishka pajurishpami / mana kaylla nanawan. la herida infectada / me duele terriblemente.,pak
3286,  morfema que significa,paka
3287,  oculto / en secreto. ñuka allita rikuna munakpi / ñawita paka ruran chay warmi. yo quiero verla pero ella me oculta la cara.,pakalla
