id,Kichwa,Espa√±ol,Etiqueta
2842,  pus / materia. kanpak chupu achka kiyayukmi kashka. el tumor tenÌa mucha pus.,kiyayana,negativo
2843,  enconarse / infectarse. kayna pitirishkami kiyayawashka. la herida de ayer se ha infectado.,kucha,negativo
2844,  lago / laguna / pozo / charco / profundo. aÒanku kuchapi achka paychi tiyashkata rikurkani. vi que en la laguna de aÒango abunda el pirarucu. kayta mana ripachu / manÒatami kucha kan. por aquÌ no hay como pasar / est· el profundo.,kuchayana,neutro
2845,  inundaciÛn. kunanka kaytaka jawallami / sacha manÒatami kuchayashka. por aquÌ est· un poco profundo / junto a la orilla se ha hecho profundo.,kuchi,positivo
2846,  chancho / cerdo / puerco / marrano. mana rikuymanta usayuk kuchita rantishkanchik. por no fijar-nos / hemos comprado puerco piojoso.,kuchipillan,negativo
2847,  oso hormiguero grande. kunan pachapi kuchipillan napo mayuta mana waytanchu. estos tiempos ya no se ve nadar al oso hormiguero por el rÌo napo.,kuchu,negativo
2848,  rincÛn / esquina. wasi kuchupimi allkuna puÒun. en la esquina de la casa duermen los perros.,kuchuchu,neutro
2849,  tejÛn. jatun kuchuchumi allkuta kunkata pitikta kanishpa waÒuchipan. el kuchuchu grande le degollÛ y lo matÛ a mi perro.,kuchuna,negativo
2850,  talar / herir a otro. yura kuchunamanmi ayllu kayawarka. el pariente me invitÛ a talar ·rboles. makarikushkapi chayshukta kuchushka. en la pelea le han herido al otro.,kuchurina,negativo
2851,  cortarse. kanwakushkapi / tumiwan chakipi kuchurishka. al estar construyendo la canoa / se ha cortado con el hacha en el pie.,kuchuyana,negativo
2852,  arrinconarse. machakuy piÒarishpa jawapi shayarishkamanta / allimanta kuchuyarka. embravecida la culebra se parÛ / luego se arrinconÛ.,kuchuyachina,negativo
2853,  arrinconar. intillamata allku tiwtiwshpa / yura sikillapi kuchuyachirka. persiguiendo el perro al oso hormiguero / lo arrinconÛ junto a un ·rbol.,kukayu,neutro
2854,  fiambre. napo mayumanta runaka may purinaman / llamkanaman imapash rikushpa / aswallatakmi kukayushpa apanchik. los hombres del napo llevamos chicha / ya sea al trabajo o a la cacerÌa.,kukupa,positivo
2855,  gavil·n nocturno. kukupa pishkumi tutapi manchachin. el gavil·n nocturno nos asusta en la noche.,kukuyu,negativo
2856,  luciÈrnaga. tutakunapi achik shinami rikuchishpa purin. en las noches alumbra como la linterna.,kula,negativo
2857,  cacao blanco. kula muyuta yapakta mikukpika wiksata wakllichinmi. si se come en demasÌa el cacao blanco / hace mal al estÛmago.,kulta,positivo
2858,  pato. kuita aychata mikupani. como carne de pato.,kulun,positivo
2859,  trueno. tamyankarakpimi achka kutin kulun uyarishka. el trueno anuncia la lluvia.,kullki,positivo
2860,  dinero. kunan tiyak kullkika mana imapash paktanchu. el actual dinero no alcanza para nada.,kullkisapa,positivo
2861,  rico. chay runa kullkisapa kashpapash / mana sumak churarishka rikurinchu. ese hombre aunque posee mucho dinero / no se le ve bien vestido.,kullkiyana,positivo
2862,  enriquecerse / llenarse de dinero. paktamushkapi kullki illak karka / kaypimi kullkiyashka. cuando llegÛ era pobre / aquÌ se ha enriquecido.,kullkiyuk,neutro
2863,  adinerado / rico. kullkiyuk mishukunaka / kullkita mitsashpa kawsankapaklla mikun. los adinerados no comen manjares / por tacaÒos comen solo para vivir.,kumal,positivo
2864,  camote. maykan yachakkunaka kumalwan aswashkata uma nanay rayku / mana upyanchu. algunos shamanes no toman la chicha preparada con camote / seg˙n ellos les causa dolor de cabeza.,kumu,positivo
2865,  jorobado / encorvado / agachado. rukuchu chay runaka. mana / wawamantami kumu kawsan. øel seÒor es anciano? no / es jorobado desde niÒo. apayakuna shina kumu purinki. caminas agachado como los ancianos.,kumuchina,neutro
2866,  agacharse / inclinarse. kumuchishpa jampita siki aychapi tuksiwarka. haciÈndome agachar me inyectÛ en la nalga.,kumurina,neutro
2867,  agacharse / inclinarse. kumuri / yantatak apachishkanki. ag·chate / voy a hacerte cargar la leÒa.,kumuyana,positivo
2868,  tornarse jorobado. sukta chunka watamanta kumuyana tukunchik. a partir de los sesenta aÒos / nos tornamos jorobados.,kuna,positivo
2869,  dar / entregar. kunan puncha tukuy Òuka charishkata kanman kuni. en este dÌa te entrego todas mis pertenencias.,kunamanta,positivo
2870,  de hoy en adelante / desde ahora. kunamanta wasipimi tiyana kakni. de hoy en adelante permanecerÈ en la casa.,kunampu,positivo
2871,  palmera. atallpa wasita kunampu (kanampu) pankawan rurakpi / unaytami kawsanka. si se hace el gallinero con hoja de palmera / va a durar mucho tiempo.,kunan,neutro
2872,  ahora / hoy / indica tambiÈn el tiempo actual. kunan chishita kanpak wasiman shamuna kani. esta tarde vendrÈ a tu casa. kunan watakunapi challwa tukurinmi / llikakpi mana japirinchu. en estos aÒos ya no hay bocachicos / cuando se pesca no caen.,kunanllapash,negativo
2873,  por ahora / por esta vez. kunanllapash kullkita maÒachiway. por esta vez prÈstame dinero.,kunanllatak,positivo
2874,  este momento. kunanllatak Òukapa kanwata tikrachiwanki. ahora mismo me devuelves mi canoa.,kunanshitu,positivo
2875,  de inmediato. kunanshitu Òuka kullkita kutichiway. devuÈlveme de inmediato mi dinero. kunashitu Òuka ushushiwan sawariwanki. te casas ahora mismo con mi hija.,kunawaru,negativo
2876,  variedad de rana. inti chishashka tutakunapi / kaspi jutkupi kunawaru kaparishka uyarin. en las noches de verano / se escucha el canto de la rana en alg˙n hueco de ·rbol.,kunchi,positivo
2877,  variedad de pez . puchukayta kunchi maytushkata karaway. por ˙ltima vez dame de comer ese pescado envuelto en hoja.,kunka,negativo
2878,  pescuezo / cuello / voz. wishtuman puÒushkani / kunka (tullu) mana kaylla nanawan. he dormido con el cuello torcido / me duele terriblemente. Òuka llaktapi alli kunkayuk runakuna tiyan / paykuna takishpaka sumakta uyachin. en mi pueblo hay gente de buena voz / cuando ellos cantan / se les oye con gusto.,kunkajutku,positivo
2879,  garganta. lumarisu kunkajutkuta nanachishpa pakariwan. la gripe me hizo doler la garganta toda la noche.,kunkana,positivo
2880,  olvidar. Òuka mirkanutami kunkamushkani. me he venido olvid·ndome el machete.,kunkarina,positivo
2881,  olvidarse. kayna yachashkata kunkarishkanimi. me he olvidado lo que ayer aprendÌ. kanta piÒakkunamanta kunkarina tukunki. tienes que olvidarte de los que te odian.,kunkawasha,positivo
2882,  nuca. waktashka shina kunkawashapi yankamanta nanankapak kallariwarka. como haberme dado un golpe / me empezÛ a doler la nuca.,kunkaylla,negativo
2883,  tranquilo / en reposo / sin hacer nada. kunkaylla tiyakushkapi / paymantami killachik shamuwarka. estando tranquilo / Èl me vino a molestar.,kunkaymanta,neutro
2884,  repentinamente / de imprevisto / de un momento a otro. wayra kunkaymanta shamushpa / wasita tulachirka. llegÛ de imprevisto un ventarrÛn y tumbÛ la casa.,kunkaysiki,neutro
2885,  olvidadizo / despistado. kanman minkashkata killkashpa apanki / kunkaysikimi kanki. llevar·s por escrito todo lo que se te encarga / t˙ eres despistado.,kunkuri,positivo
2886,  rodilla / arrodillarse. kunkuripi kuchurishkami / mana utka alliyan. la herida en la rodilla / no sana pronto. kaypi kunkuri / kaymanta ama kuyurinkichu. arrodÌllate aquÌ y no te muevas.,kunkurimuku,negativo
2887,  rÛtula. kunkurimuku llushpikta rumipi urmachinushka.se cayÛ en la piedra / de modo que se le zafÛ la rÛtula.,kunkurina,neutro
2888,  arrodillarse. misapi tukuylla kunkurina tukurkanchik. tuvimos que arrodillarnos todos para oÌr la misa. kunkurishpa Òukapa warmiyayata paypak ushushita maÒarkani. arrodill·ndome a mi suegro / le pedÌ a su hija.,kuntur,negativo
2889,  cÛndor. jawallakta urkukunallapi kawsak jatun anka / kaypika illanmi.es una ave grande que vive sÛlo en los montes de la sierra / aquÌ no hay.,kunu,positivo
2890,  conejo / liebre. Òuka warmipak inchik chakrata / kunu mikushpa tukuchishka. el conejo ha terminado de comer la sementera de manÌ de mi esposa.,kunuchina,neutro
2891,  calentar. mikunata kunuchinki / mana kunuchikpika ashnayankami. calentar·s la comida / si no lo haces se daÒar·.,kunuk,positivo
2892,  tibio / abrigado. tukuy tutamanta kunuk yakuwan aswata llapishpa upyachinami. todas las maÒanas se da de tomar chicha desleÌda en agua tibia. abrigado. kanpak katana kunukmi. tu cobija es abrigada.,kununa,positivo
2893,  calentarse. rukuyashpa chirishpami / ninapi kunukun. sintiendo frÌo por la vejez / se calienta junto al fuego.,kupal,negativo
2894,  copal. ·rbol arom·tico que se utilizan para ahumar a los niÒos para prevenir y curar del mal viento.,kuraka,positivo
2895,  jefe o persona principal / curandero. takayrikunapak kuraka takata / shiripunu mayupi dahua waÒuchishka rimay tiyan. al curaca de los tagairi / se dice que dahua lo matÛ en el rÌo shiripuno.,kuri,negativo
2896,  oro. uray runa kurita mana mayllanchu. el indÌgena del bajo napo no lava oro.,kurikiwa,positivo
2897,  ave parecida al perico. kurikiwa waylla rikurishpa tsatsapi juntarka. a esas aves se las ve verdes sobre la playa.,kurina,positivo
2898,  darse / ofrecerse. Òuka warmiman shunkuwan kurini. me ofrezco de corazÛn a mi esposa. warmiwan kariwan sawarishkapika / tukuy shunkuwan / tukuy aychawan waÒunakaman kurinchik. cuando nos casamos entre mujer y varÛn / nos damos con todo corazÛn y con todo el cuerpo hasta la muerte.,kurisana (kurisapa),negativo
2899,  palmera especial para fabricar arcos. kurisanata llamkankapak apamuy. trae una palmera para el trabajo.,kurishuntu,positivo
2900,  moscardÛn. mana rikushka kurishuntuta / kunan sachapi rikurkani / chiwklla rikurik karka. hoy vi en la selva un moscardÛn que nunca habÌa visto antes / era brillante.,kuru,positivo
2901,  gusano / corto. allkupi kuru mirashka. el perro se ha agusanado. kay kaspi yapa kuru kan. este palo es muy corto.,kurulla,negativo
2902,  corto / que est· lleno de gusanos. kurulla waskata apamuy. trae una soga corta. kayna kuyashka aychaka kurullami pakarishka. la carne que ayer regalaron ha amanecido agusanada.,kurullayana,negativo
2903,  acortarse / encogerse. Òukanchik kanwaka sikimanta pitishkarayku / kurullayashkami. nuestra canoa al cort·rsele la popa / se ha acortado.,kurumama,negativo
2904,  mosca de gusaneras. imachari ismukun / kurumamaklla yura hawapi rikurin. quÈ ser· lo que est· podrido / se ve revolotear moscas all· arriba.,kurunta,positivo
2905,  tusa / mazorca. sarata ishkushpa / kuruntata chay kuchupi juntachinki. luego de desgranar el maÌz / amontonar·s las tusas en esa esquina. jatun sara kuruntakunallatakmi pallarkanchik. hemos cosechado sÛlo las mazorcas grandes.,kururu,positivo
2906,  avispero. ovillo. kururuta apamuy / ansa pushkata pitisha. trae el ovillo / que voy a cortar un trozo de hilo.,kururuna,negativo
2907,  hilar. champiratami shikrata watanarayku kururukuni. estoy hilando la fibra de palmera para tejer un bolso.,kuruta,positivo
2908,  testÌculo / escroto. kuchi kurutapimi kuruyashka. el puerco se ha lastimado el testÌculo.,kuruyachina,negativo
2909,  acortar / agusanar. kay warata kuruyachipay. acÛrtame / por favor / este pantalÛn. imata rashpata kay aychata kuruyachiki. quÈ haciendo dejaste agusanar esta carne de piraruc˙.,kuruyana,negativo
2910,  acortarse / agusanarse. kay kawina yapalla suni kan / pitikpi kuruyankami. este remo est· muy largo / si le corto se ha de acortar. kay atallpa sikipi kuruyashkamari. esta gallina se ha agusanado en el ano.,kuruyuk,negativo
2911,  agusanado / que est· con gusanos. jawai yura achka kuruyuk turupi shayarka. una palmera del pantano tenÌa harto gusano.,kusa,negativo
2912,  marido / esposo. Òuka kusa Òallami sachamanta paktamunka. mi esposo ya mismo llega de la cacerÌa.,kusakana,positivo
2913,  novio. Òukapa ushushita allipachachu munanki / paypak kusa kanki.por quÈ la quieres de veras / øeres el novio de mi hija?,kusana,positivo
2914,  asar. siku aychata kusakuni. estoy asando carne de guatusa.,kusarina,positivo
2915,  asar. intipimi kusarishpa chishami.pasÈ el dÌa as·ndome en el sol. allpa manka allita kusarishka. el tiesto se ha asado bien.,kusatukuna,positivo
2916,  Òukapa ushushiwan munanakushpami paypak kusatukushka. se han enamorado y ahora es el novio de mi hija.,kusayuk,positivo
2917,  casada / que tiene marido. kanka kuytsachu kanki. mana. kusayukmi kani. øeres soltera? no / tengo esposo.,kuska,positivo
2918,  recto / derecho / sitio / lugar / direcciÛn. kan kawsashka kuska / manchaypa yaku tukyari tiyan. en direcciÛn donde vives / hay un remolino de miedo. Òukawan purishpaka kuskapurinami kanki. si vas conmigo tienes que andar recto (pÛrtate bien).,kuskayachina,negativo
2919,  enderezar. kan wishtuyachishka illapa tulluta kushkayachipanki. por favor enderezar·s el calibre de la escopeta que torciste.,kushi,negativo
2920,  alegre / contento / lleno de j˙bilo / feliz / dichoso. wawakunaka mishkimuyuta rikushpaka / kushimi tukun. cuando los niÒos ven confites / se ponen dichosos.,kushilla,positivo
2921,  dichoso / contento / feliz / alegre. kay watapi yachashkamanta kushillami kani. estoy contento de todo cuanto aprendÌ en este aÒo.,kushillu,positivo
2922,  genÈrico de mono. wasi manÒanllapi churunku kushillu tukurishkami / karuman mashkana tukunchik. cercano a la casa ya no hay monos chorongos / hay que buscarlos lejos.,kushiyana,negativo
2923,  alegrarse / contentarse /llenarse de j˙bilo.raymi punchapi / tukuylla kushiyashpa tushurka. en el dÌa de la fiesta / todos llenos de j˙bilo bailaban.,kushma,positivo
2924,  una especie de t˙nica (sionas / secoyas y los cofanes). camisa. wawapak kushma turuyashkami / takshanki. la camisa del niÒo se ha ensuciado / lavar·s.,kushni,negativo
2925,  humo / humareda. chayman rikuy / kushnimi mana kaylla jatarin / wasitami rupachikun. mira all· / esa humareda que se levanta / creo que queman alguna casa.,kushnichina,negativo
2926,  ahumar. awlaka allpa mankakunatami kushnichikurka. la abuela estaba ahumando las ollas de barro. wawata kushnichi / tutami yapa kushparka. ah˙male al niÒo / no durmiÛ toda la noche. tukuy sami pankatami timpuchikuni / wawa apashkamanta sasina tukurinmi / chayraykumi kunan chishita kushnichisha yuyani. estoy cocinando todo tipo de hojas / ya se terminÛ la dieta del parto / por eso he pensando ahumarte esta tarde.,kushniyana,negativo
2927,  hacerse de humo. nina sikipi tiyashpaka kushniyanami tukun. permaneciendo junto al fogÛn / es normal llenarse de humo.,kushpachina,negativo
2928,  revolcar. llikapi pillurishka paychita / kushpachikuymanta waÒuchirkani.al pirarucu que se habÌa enredado en la red / de tanto hacerle revolcar / lo matÈ.,kushpana,neutro
2929,  inquieto / saltarÌn. kay wawa mana kasilla tiyanata ushanchu / kushparikunllami. esta criatura no puede estar quieta / esta siempre inquieto.,kushparina,negativo
2930,  patalear / ser inquieto. chichu wakra mamata ama yapalla kushpachinkichu / shullunkami. a la vaca preÒada no le pondr·n inquieta demasiado / ha de abortar.,kutana,negativo
2931,  moler / masticar / piedra para moler. sarata kutanki. moler·s maÌz. mikukushpaka allita kutanami kan. cuando se come / hay que masticar bien. kutana rumita chuntata kutashka washa / sumakta mayllanki. despuÈs de moler la chonta / lavar·s la piedra.,kutashka,negativo
2932,  molido / harina. kutashka sarata chuchikunata karay. dales de comer maÌz molido a los pollos.,kutichina,negativo
2933,  devolver / contestar / responder. kan apamushka kamuta utkalla kutichinki. el libro que trajiste devolver·s pronto. Òuka rimakpi mana chunlla uyarkachu / payllami sinchi shimiwan kutichiwarka. al hablarle no me escuchÛ en silencio / me contestÛ con palabras fuertes.,kutimpu,negativo
2934,  armadillo grande. ayami nishpa kutimpu aychata runakuna mana mikunchu. creyÈndole cad·ver / al armadillo grande la gente no le come.,kutin,negativo
2935,  otra vez / nuevamente / de nuevo. kutin killachinkapak shamuwanki. me vienes a molestar nuevamente.,kutipana,negativo
2936,  responder / contestar. Òuka tapushkata kutipanata ushankichu. øpodr·s responder a mis preguntas?,kutiparina,neutro
2937,  empeorarse / recaÌda. kutiparikpimi unkuyka kutin kariyashka. se ha empeorado y la enfermedad es muy fuerte.,kutu,negativo
2938,  mono aullador. kutu kaparishkaka karutami uyarin / chayshinamantami paytaka runa waÒuchin. el grito del mono aullador suena lejos / por eso la gente le mata.,kutuna,negativo
2939,  falda. ruku mamakunami kutunataka churarinkuna / maltakunaka waratami churarin. las ancianas se ponen falda / las jÛvenes se ponen pantalÛn.,kuwayu (tuwayu),positivo
2940,  p·jaro nocturno. kuwayuka pay kaparishkamanta chikan uyachishpaka (kurus / kurus / kurus... uyachispaka) / tapyanmi riman rukukuna. que cuando esta ave chilla diferente es mal augurio dicen los ancianos.,kuy,positivo
2941,  conejillo de indias. cuy. se utiliza para rechazar algo que se ha dicho en broma. kunanmi napo runapash kuyta mirachinkapak kallarin. el runa del napo reciÈn empezÛ a domesticar cuyes. payka kanpak warmichu. kuy. øella es tu mujer? °kuy!,kuya,positivo
2942,  arbusto de totuna (pilche). pilchi purupimi chukikunataka sakini / karanki. en el trasto de totuma dejo los pericos / dar·s de comer.,kuyana,negativo
2943,  regalar. shuk killa washa Òukapa warmi paktamukpi / ukllarishpa payta kuyarkani. al llegar mi esposa despuÈs de un mes / la acariciÈ abraz·ndola. payka pay apamushka mikunata kuyawarka.y ella me regalÛ la comida que habÌa traÌdo.,kuyaylla,neutro
2944,  digno de compasiÛn / entristecido / meloso. piÒashpa kawsashka washa / kuyaylla shimiwan kullkita maÒawarka. despuÈs de haberme criticado tanto / llegÛ con palabras melosas a pedirme dinero.,kuychi,positivo
2945,  arcoiris. kuychi shayarikpi makiwan mana rikuchina / maki ismunka rukukuna riman. cuando aparece el arcoiris / no hay que indicar con el dedo / se ha de podrir la mano dicen los ancianos.,kuychiyana,neutro
2946,  enfermarse del mal del arcoiris. kuychita makiwan rikuchishkamantami / maki ismushka tiyan. por indicar el arcoiris con la mano se le ha podrido, esa es la enfermedad del arcoiris.,positivo
2947,kuynachina,  vomitar / arrojar. wiksa sapuyakta yakuta saksashpami / kunanka kuynakun. luego de tomar agua hasta empiparse / ahora est· vomitando.,negativo
2948,kuynana,  vomitar / arrojar / devolver. wayrakpimi kicha / kuyna japishkata kuynakun. con el mal viento le ha cogido diarrea y vÛmito / por eso vomita.,negativo
2949,kuyuchina,  sacudir / mover. wayrami Òalla wasi chawsikta kuyuchishka. el viento ha sacudido la casa hasta casi desbaratarla.,negativo
2950,kuyuna,  temblor / moverse. allpa manchaypak kuyukpi / machakukkuna sakirkami. hubo un temblor de miedo / los que bebÌan suspendieron. pakarikta wasi kuyurka. se moviÛ la casa toda la noche.,positivo
2951,lamama (mamatukuk),  madrastra.,negativo
2952,lamishtu,  persona ingenua. yaku ukupi runa kawsan nishkata uyashpa / tukuy lamishtukuna yakuman pawashpa / mana waytakkuna kashpa / tukuy waÒushka. como oyeron que dentro del agua vivÌa gente / los lamishtos se lanzaron al agua y como no sabÌan nadar / se ahogaron.,negativo
2953,lapa,  espeso. wankanami turuta lapa rurashpa rishka. los puercos selv·ticos se revuelcan en lodo espeso.,neutro
2954,lapayana,  espesar. aswata ashtalla lapayachishpa upyachiway. m·s espesa dame la chicha.,negativo
2955,lapu,  retorcido / doblado / daÒado. rupachikpi kanwa shimika lapu lapu tukushka. al quemar se ha retorcido el filo de la canoa.,negativo
2956,lapuna,  doblar. raku kaspitaka mana amu munashka shina lapuy-pachu.un palo grueso no dobla como uno quiere.,positivo
2957,lapuyana,  doblarse / combarse. wayra patachishka jillay karakunami lapuyashka juntan. las planchas met·licas dobladas por el viento se amontonan.,negativo
2958,larka,  acequia / canales naturales pequeÒos. larkapi achka (tawka) aychawawa juntarishka. en el canal se ha llenado con harto peje.,negativo
2959,larkana,  acequia / construir canal. kay larkaka Òuka wasikaman yakuta paktachin / Òakarishpami larkana tukuchirkanchik. esta canal lleva el agua hasta mi casa / tuvimos que sufrir para construirlo.,positivo
2960,laturi,  hermanastro. laturi lapaniwan munarinukpi / sawarichina tukurkanchik. el hermanastro se querÌa con la hermanastra / tuvimos que casarlos.,negativo
2961,latsa,  h˙medo / mojado. tamyarayku allpa latsa sirin. est· mojado el suelo a causa de la lluvia.,negativo
2962,latsayana,  medio mojado / un poco h˙medo. kanpak churana latsanayami / munashpaka churarinallami. tu ropa est· medio mojada / si quieres puedes ponerte.,negativo
2963,lawrana,  ardor. nina waskapi aspirishkami lawrachiwan. lo rasguÒado en el bejuco me causa ardor.,negativo
2964,lawshushi,  hijastra / entenada. nikin ushushi shina lawshushi llakiwan. la entenada me estima como si fuera mi propia hija.,negativo
2965,laya,  clase / forma (corresponde al sami / shina). paypalaya wasita charinakyani. quiero una casa de igual clase a la de Èl.,positivo
2966,layaya,  padrastro.,neutro
2967,lichayuk,  que tiene suerte en la caza / pesca / etc. sachapi / yakupi / tukuypi lichayuk runamari. de verdad que este tiene suerte en la pesca / en la cacerÌa y en todo.,neutro
2968,linchi,  red. challwami achka sikakun / linchita churakrishun. est· subiendo cantidad de bocachico / vamos a poner la red.,positivo
2969,lisan,  paja toquilla. lisan pankawanmi Òuka wasita awakuni. estoy tejiendo el techo de mi casa con paja toquilla.,positivo
2970,lukata,  variedad de palmera / muy buena para techos de las casas (shapaja / kanampu). alli wasitani rurahuni / chayrayku lukatawan wasikuni. estoy construyendo mi casa para mucho tiempo / por eso la hago con hoja de palmera.,positivo
2971,lukru,  sopa espesa / mazamorra. lumucha aychata lukrunki. cocinar·s mazamorra con carne de guanta.,negativo
2972,lumucha,  guanta. mishki aychami. la guanta es carne sabrosa.,negativo
2973,lumukuchi,  saÌno / puerco selv·tico. kay allku maykayllachu lumukuchita katin. este perro es bueno para la cacerÌa de saÌnos.,negativo
2974,lunchik,  manglar. lunchik ukupi intitami kishpirkanchik. fui dentro del manglar.,positivo
2975,lupuna,  ceibo (·rboles grandes). lupuna jawapi wasishpa kawsanallami / wayraka killachinkami. construyendo la casa sobre un ceibo se podrÌa vivir / solo que el viento ha de molestar.,positivo
2976,luyuluyu,  pintado / huellas. luyuluyu jawishka churanata rantirkani. comprÈ una ropa pintada. kaytami luyuluyu rishta / paypa chaki rikurin. se ha ido por aquÌ / hay huellas de su pie.,neutro
2977,llachapa,  trapo / paÒal / andrajo. wawapak llachapatak apamuy. trae el paÒal del bebÈ.,positivo
2978,llachapana,  remendar. kanpak churanatachu llachapakunki. remienda tu ropa.,negativo
2979,llakichina,  ofender / entristecer. kari yapa tuta machashpami llakichiwan. mi esposo me ofende por sus muchas borracheras.,negativo
2980,llakimanta,  pena / problema. llakimanta kashnami wakashpa purini. asÌ ando llorando de la pena. llakirayku Òuka llaktamanka karuyarkanimi. por un problema me alejÈ de mi pueblo.,negativo
2981,llakina,  amar. Òuka warmita llakini / payraykumi achkata Òakarini. yo amo a mi esposa / por ella que sufro tanto.,positivo
2982,llakinayakta,  denota l·stima. llakinayakta makarka. dio l·stima de cÛmo le pegaron. llakinayakta tukuylla unkushka kan. da l·stima de verles enfermos.,negativo
2983,llakinayana,  sentir pena / sentir cariÒo. yapalla rukushitukunata llakinayawan. siento pena por los ancianos. yapalla rukushitukunata llakinimari. siento cariÒo hacia los m·s viejos.,neutro
2984,llakipak,  digno de compasiÛn. maltapi sinchi / kushi shayakkuna / rukuyashpa llakipak tukunchik. de jÛvenes fuertes / alegres,positivo
2985, de viejos somos dignos de compasiÛn.,llakirina,neutro
2986,  afligirse / dolerse. kayna waÒushka ushushimanta yaya / mama llakirishka kan. por la muerte de su hija los padres est·n afligidos.,llakllana,positivo
2987,  labrar / pulir / raspar. kanwatami llakllakun. est· labrando la canoa.,llakta,positivo
2988,  pueblo / ciudad / lugar de origen. Òuka llaktaka napo muyu uraymanmi. mi lugar de origen es el rÌo napo. coca llaktaka ashtawanmi jatunyashka. la ciudad de coca ha crecido.,llaktachina,positivo
2989,  construir una ciudad / abrir finca. maymanta laychuchari / runakunata tantachishpa llaktachikun. un mestizo de no sÈ de dÛnde / est· abriendo una finca.,llaktana,neutro
2990,  asentarse en un lugar / vivir en un lugar. kunanka kaypichu llaktashpa kawsakunki. øy / ahora / est·s viviendo aquÌ?,llaktayuk,positivo
2991,  habitante / poblador / ciudadano. ransyakunaka karuman llaktayukmi kan. los gringos son habitantes de tierras lejanas.,llamkana,positivo
2992,  trabajar. kay punchamantami llamkankapak kallarinchik. empezamos a trabajar desde este dÌa.,llampu,positivo
2993,  liso / pulido / suave al tacto / todo. alli llanpushkami. est· bien pulido. Òuka kullkita llampu tukuchimuni. terminÈ todo mi dinero. kay allku llampu millmayuk kan. la lana de este perro es suave.,llampuna,positivo
2994,  pulir / cepillar / limar / enlucir. kay kaspipalata llampushpa kuway. dame cepillando esta tabla. pirkata llampunkapak yanapaway. ay˙dame a enlucir la pared.,llampurina,positivo
2995,  alisarse / pulirse. sinchi yakuraykumi rumikuna chiwklla llampurishka kan. est·n bien alisadas las piedras por la corriente de agua.,llankana,negativo
2996,  tocar / manosear / palpar / tantear. pitak Òuka kamuta llikiparka. wawami llankakurka. øquiÈn rompiÛ mi libro? el niÒo lo estaba tocando.,llantu,negativo
2997,  sombra / niebla / penumbra. llantu ukupika machakuy sirishka imapash mana rikurinchu. en la penumbra no se puede ver si hay culebras. kunan tutamanta puyu / Òawi mana rikurikta karka. esta maÒana la niebla no dejaba ver.,llantuchina,negativo
2998,  sombra. chay jatun yura sarata llantuchin / kuchukpi alli kan. ese ·rbol grande est· haciendo sombra al maÌz / hay que tumbarlo.,llantuyana,negativo
2999,  tornarse sombra / cubrirse de niebla. inti kashkamanta llantuyan. la claridad del sol / en la noche se vuelve sombra.,llapichina,positivo
3000,  aplastar / hacer estrujar. kan aswata mana llapinayashpa / ushushita llapichik. si tu no quieres aplastar la chicha / hazle aplastar a tu hija.,llapina,negativo
3001,  estrujar / aplastar. mana warmikunallachu aswata llapin / karikunapash llapinchikmi. no sÛlo las mujeres aplastan la chicha / los hombres tambiÈn lo hacemos.,llashak,positivo
3002,  pesado. kay wawallashakmi. este niÒo est· pesado.,llashana,positivo
3003,  pesar / estar pesado / tener peso. kay kanwa llashakmi mashna tankakpipash mana purinchu. esta canoa est· pesada / por mucho que se la empuja / no adelanta.,llatakara,neutro
3004,  desnudo / sin nada que cubra. imaraykuta chay wawakunaka llatakara purirn. øesos niÒos / porquÈ est·n desnudos?,llatan,negativo
3005,  desnudo / sin ropa / sin vello / sin plumas / sin pelos. yuyay illak ruku / llatan purikurka. un anciano andaba sin ropa. llatan chuki wawachu.øel periquito no tiene plumas?,llatanana,neutro
3006,  desvestir / desnudar. mamakunaka churanata llatanashpa wawakuna armachin. las madres desvisten a los niÒos para baÒarles.,llatanarina,positivo
3007,  desvestirse / desnudarse / quitarse la ropa. churanata llatanarishpa puÒunki. tienes que acostumbrarte a dormir quit·ndote la ropa.,llawana,neutro
3008,  lamer. allku llawakushkatami / kunanka wawa llawakun. lo que estuvo lamiendo el perro / ahora est· lamiendo el niÒo.,llawsa,negativo
3009,  flema / saliva / baba. wawa yapa llawsata tallichin / kirumi llukshikun yachin. el niÒo babea mucho / creo que le est· apareciendo la dentadura.,llawtu,negativo
3010,  corona / diadema. sumak llawtukunata churarishpa raymipi wawakuna tushurka. adornadas con preciosas coronas / las niÒas bailaban en la fiesta.,llichiwayu,positivo
3011,  variedad de ·rbol medicinal. shirinka tukurishkapika llichiwayutapash tukuchirka. cuando acabaron con el caucho / terminaron tambiÈn con el lecheguayo.,llika,negativo
3012,  red para pescar. kanpak llikataka churikunami aparka. tu red se la llevaron mis hijos.,llikana,positivo
3013,  echar la red. llikakpika ima sami yakuaychapash japirinllami. cuando se coloca la red se atrapa cualquier tipo de peces.,lliki,negativo
3014,  roto / pedazo / jirÛn. kanpak churana lliki kan. est· rota tu ropa.,llikina,negativo
3015,  rasgar / romper. kanpak churanata imashina rashpata llikirkanki. øquÈ haciendo rompiste tu ropa?,llikirina,neutro
3016,  romperse / rasgarse. Òuka warmika llikirishka katanatami llachapakun. mi mujer est· remendando la cobija rasgada.,lliklla,positivo
